Q58,Q60,Q62,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q3,Q4,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q3,Q4,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q3,Q4,Q97_1,Q97_2,Q97_3,Q98_1,Q98_2,Q99,Q4,Q101_1,Q101_2,Q101_3,Q102_1,Q102_2,Q103,Q104,Q105_1,Q105_2,Q105_3,Q106_1,Q106_2,Q107,Q108,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q3,Q4,Q113_1,Q113_2,Q113_3,Q114_1,Q114_2,Q115,Q116,Q117_1,Q117_2,Q117_3,Q118_1,Q118_2,Q119,Q120,Q121_1,Q121_2,Q121_3,Q122_1,Q122_2,Q123,Q124,Q125_1,Q125_2,Q125_3,Q126_1,Q126_2,Q127,Q128,Q129_1,Q129_2,Q129_3,Q130_1,Q130_2,Q131,Q132,Q63_1,Q64_1,Q65_1,Q66_1,Q67_1,Q134_1,Q135_1,Q70,Q71,Q73,Q72,SC0
28,Male,3,6,6,6,14,20,4,16,5,5,5,15,19,4,10,3,3,3,17,18,5,4,2,3,3,17,18,5,5,3,5,5,15,19,6,10,4,4,4,15,19,5,8,4,4,4,19,20,4,12,4,2,4,18,18,4,12,6,6,5,20,14,5,4,4,5,4,18,15,5,6,2,4,4,17,19,6,8,2,4,4,15,18,6,9,31,4,32,25,11,10,12,2,3,1,2,16
22,F,2,6,6,6,14,14,4,17,6,6,6,14,14,4,14,5,5,6,15,16,5,5,3,5,5,15,16,5,5,5,5,5,15,15,6,9,5,5,6,15,16,6,10,2,2,2,15,20,4,12,2,2,2,15,17,4,13,2,2,2,15,17,5,5,5,4,2,15,18,5,8,2,2,2,15,15,6,9,2,2,2,15,17,6,8,30,6,32,24,12,12,10,1,3,1,2,16
21,Male,2,6,6,6,14,19,4,17,7,7,7,14,20,4,17,2,5,5,16,16,5,5,2,3,5,16,14,5,5,6,6,6,14,19,6,9,6,7,7,14,18,4,14,3,4,4,16,18,4,14,2,4,4,15,19,4,15,6,4,4,20,15,5,4,6,4,4,18,17,5,5,3,4,4,18,18,6,9,2,4,4,15,18,4,12,31,4,32,26,12,12,9,2,2,1,2,16
21,Male,2,7,7,7,14,20,4,17,6,6,6,14,20,4,16,1,1,1,20,14,5,5,1,1,1,20,14,5,5,6,6,6,14,20,4,15,6,6,6,15,19,4,14,1,1,1,14,20,4,15,1,2,2,14,20,4,15,5,1,1,20,18,5,5,6,1,1,20,14,5,5,1,1,1,16,19,4,15,5,1,1,19,16,6,10,31,4,33,26,9,13,10,2,1,1,1,12
21,Male,2,7,7,7,14,19,4,17,7,6,7,14,19,4,16,2,2,4,17,19,5,4,1,1,1,15,19,5,5,6,6,6,14,19,4,15,4,4,4,16,18,6,9,1,1,2,15,19,4,15,1,1,2,15,19,4,14,6,5,3,19,14,5,4,6,5,2,19,15,5,6,2,2,1,15,19,4,15,2,2,1,14,17,6,9,34,4,34,26,10,12,10,1,1,1,1,19
21,Male,2,6,6,6,14,19,4,15,6,5,6,15,19,4,15,1,1,1,20,14,5,5,1,1,1,18,14,5,4,2,4,3,18,18,6,9,5,5,5,16,18,4,10,5,3,2,19,19,4,14,4,3,5,16,19,4,12,7,6,1,20,15,5,4,6,5,2,20,16,5,7,4,4,4,18,19,6,12,1,2,1,17,18,6,9,32,4,33,25,10,13,12,1,3,1,1,15
21,Male,2,7,7,7,14,20,4,17,6,7,6,15,20,4,14,1,2,2,19,14,5,4,1,3,2,19,15,5,6,6,6,6,15,19,4,14,7,7,7,14,20,4,15,1,1,2,15,20,4,13,3,3,1,19,19,4,9,7,7,7,20,15,5,4,7,6,6,19,18,5,6,2,2,2,18,18,4,10,4,4,4,19,19,4,10,32,4,34,27,10,12,11,2,3,1,2,12
20,Male,2,7,7,7,14,19,4,7,7,7,6,15,18,4,8,2,2,2,17,16,5,9,2,2,2,19,18,5,6,5,5,5,15,19,6,8,5,5,5,15,18,5,7,1,1,1,18,19,4,9,2,1,1,18,19,4,8,7,5,2,20,14,5,9,6,2,2,20,15,5,7,4,1,1,18,17,6,9,3,3,2,18,17,6,8,32,4,33,25,9,12,12,2,3,1,1,12
19,Male,2,6,7,7,16,16,4,17,6,5,6,16,18,4,16,2,3,4,18,16,5,4,1,2,4,19,16,5,4,4,3,5,19,16,6,9,5,4,4,16,17,6,14,2,2,2,19,19,4,13,2,2,2,16,19,4,12,6,2,2,19,18,5,5,5,2,2,18,19,5,7,4,2,2,19,19,4,10,2,2,2,16,19,6,10,32,3,34,26,10,12,12,2,3,1,1,15
21,M,2,7,6,6,14,19,4,17,6,6,5,15,19,4,16,2,6,5,16,18,5,4,6,6,5,15,19,5,6,6,6,5,16,19,4,16,5,5,5,16,18,4,10,6,6,6,20,15,5,14,6,6,6,19,15,5,14,2,3,3,15,19,5,4,2,2,2,14,19,4,5,4,6,5,16,18,6,10,2,3,3,15,19,6,9,32,4,32,25,12,12,9,1,1,1,1,14
